Tumor_Sample_Barcode  TCGA-02-0001  TCGA-02-0003  TCGA-02-0004  TCGA-02-0006  TCGA-02-0007  TCGA-02-0010  TCGA-02-0011  TCGA-02-0014  TCGA-02-0015  TCGA-02-0016  TCGA-02-0021  TCGA-02-0023  TCGA-02-0024  TCGA-02-0025  TCGA-02-0026  TCGA-02-0027  TCGA-02-0028  TCGA-02-0033  TCGA-02-0034  TCGA-02-0037  TCGA-02-0038  TCGA-02-0043  TCGA-02-0046  TCGA-02-0047  TCGA-02-0048  TCGA-02-0052  TCGA-02-0054  TCGA-02-0055  TCGA-02-0058  TCGA-02-0060  TCGA-02-0064  TCGA-02-0068  TCGA-02-0069  TCGA-02-0070  TCGA-02-0074  TCGA-02-0075  TCGA-02-0079  TCGA-02-0080  TCGA-02-0083  TCGA-02-0084  TCGA-02-0086  TCGA-02-0089  TCGA-02-0099  TCGA-02-0102  TCGA-02-0107  TCGA-02-0113  TCGA-02-0114  TCGA-02-0115  TCGA-02-0116  TCGA-06-0124  TCGA-06-0125  TCGA-06-0126  TCGA-06-0127  TCGA-06-0128  TCGA-06-0129  TCGA-06-0130  TCGA-06-0133  TCGA-06-0137  TCGA-06-0138  TCGA-06-0141  TCGA-06-0143  TCGA-06-0145  TCGA-06-0148  TCGA-06-0150  TCGA-06-0152  TCGA-06-0154  TCGA-06-0157  TCGA-06-0158  TCGA-06-0159  TCGA-06-0166  TCGA-06-0168  TCGA-06-0169  TCGA-06-0171  TCGA-06-0173  TCGA-06-0174  TCGA-06-0176  TCGA-06-0178  TCGA-06-0184  TCGA-06-0185  TCGA-06-0187  TCGA-06-0188  TCGA-06-0189  TCGA-06-0190  TCGA-06-0195  TCGA-06-0197  TCGA-06-0201  TCGA-06-0206  TCGA-06-0208  TCGA-06-0209  TCGA-06-0210  TCGA-06-0211  TCGA-06-0213  TCGA-06-0214  TCGA-06-0221  TCGA-06-0237  TCGA-06-0241  TCGA-06-0644  TCGA-08-0244  TCGA-08-0245  TCGA-08-0246  TCGA-08-0344  TCGA-08-0345  TCGA-08-0347  TCGA-08-0348  TCGA-08-0349  TCGA-08-0350  TCGA-08-0351  TCGA-08-0352  TCGA-08-0353  TCGA-08-0354  TCGA-08-0355  TCGA-08-0356  TCGA-08-0359  TCGA-08-0360  TCGA-08-0373  TCGA-08-0375  TCGA-08-0380  TCGA-08-0385  TCGA-08-0389  TCGA-08-0390  TCGA-12-0616  TCGA-12-0618  TCGA-12-0619  TCGA-12-0620
Entrez_Gene_Id                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
287                              0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0
613                              0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
667                              0             0             0             0             0             1             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             1             0             0             0             0             0             0             0             0             0             0             1             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
675                              0             0             0             0             0             1             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
1029                             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
1111                             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
1277                             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0
1292                             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
1594                             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
